year,month,yrmo,vol_g,vol_Mg
2016,October,Oct 2016,612220771,612.220771
2016,November,Nov 2016,568674804,568.674804
2016,December,Dec 2016,572249182,572.249182
2017,January,Jan 2017,601270782,601.270782
2017,February,Feb 2017,541554967,541.554967
2017,March,Mar 2017,614379117,614.379117
2017,April,Apr 2017,606414870,606.41487
2017,May,May 2017,793553623,793.553623
2017,June,Jun 2017,911712589,911.712589
2017,July,Jul 2017,1283241468,1283.241468
2017,August,Aug 2017,1223839830,1223.83983
2017,September,Sep 2017,880885830,880.88583
2017,October,Oct 2017,623629210,623.62921
2017,November,Nov 2017,577201461,577.201461
2017,December,Dec 2017,599691582,599.691582
2018,January,Jan 2018,603341097,603.341097
2018,February,Feb 2018,563974792,563.974792
2018,March,Mar 2018,634222740,634.22274
2018,April,Apr 2018,642411204,642.411204
2018,May,May 2018,763476034,763.476034
2018,June,Jun 2018,836491446,836.491446
2018,July,Jul 2018,1186779557,1186.779557
2018,August,Aug 2018,1194341728,1194.341728
2018,September,Sep 2018,923125556,923.125556
2018,October,Oct 2018,647843936,647.843936
2018,November,Nov 2018,571956285,571.956285
2018,December,Dec 2018,605237051,605.237051
2019,January,Jan 2019,630136432,630.136432
2019,February,Feb 2019,570061986,570.061986
2019,March,Mar 2019,649698637,649.698637
2019,April,Apr 2019,638195447,638.195447
2019,May,May 2019,861630352,861.630352
2019,June,Jun 2019,999437192,999.437192
2019,July,Jul 2019,1103237080,1103.23708
2019,August,Aug 2019,1069828053,1069.828053
2019,September,Sep 2019,801484904,801.484904
2019,October,Oct 2019,614826394,614.826394
2019,November,Nov 2019,583325535,583.325535
2019,December,Dec 2019,604366557,604.366557
2020,January,Jan 2020,609357446,609.357446
2020,February,Feb 2020,568767749,568.767749
2020,March,Mar 2020,607110819,607.110819
2020,April,Apr 2020,603997868,603.997868
2020,May,May 2020,748006101,748.006101
2020,June,Jun 2020,886518023,886.518023
2020,July,Jul 2020,1112998038,1112.998038
2020,August,Aug 2020,1200192236,1200.192236
2020,September,Sep 2020,946378907,946.378907
2020,October,Oct 2020,673785614,673.785614
2020,November,Nov 2020,585760079,585.760079
2020,December,Dec 2020,582129415,582.129415
2021,January,Jan 2021,598285060,598.28506
2021,February,Feb 2021,544349690,544.34969
2021,March,Mar 2021,609082314,609.082314
2021,April,Apr 2021,619405927,619.405927
2021,May,May 2021,864495665,864.495665
2021,June,Jun 2021,1017502215,1017.502215
2021,July,Jul 2021,1261359141,1261.359141
2021,August,Aug 2021,1073855724,1073.855724
2021,September,Sep 2021,891124094,891.124094
2021,October,Oct 2021,662698410,662.69841
2021,November,Nov 2021,628972185,628.972185
2021,December,Dec 2021,611967265,611.967265
2022,January,Jan 2022,647910240,647.91024
2022,February,Feb 2022,590728826,590.728826
2022,March,Mar 2022,657625082,657.625082
2022,April,Apr 2022,637102080,637.10208
2022,May,May 2022,789117944,789.117944
2022,June,Jun 2022,850414403,850.414403
2022,July,Jul 2022,1192916667,1192.916667
2022,August,Aug 2022,1253521791,1253.521791
2022,September,Sep 2022,954102326,954.102326
2022,October,Oct 2022,655413239,655.413239
2022,November,Nov 2022,583659080,583.65908
2022,December,Dec 2022,596581262,596.581262
2023,January,Jan 2023,611901734,611.901734
2023,February,Feb 2023,558650405,558.650405
2023,March,Mar 2023,621424489,621.424489
2023,April,Apr 2023,608483845,608.483845
2023,May,May 2023,786053018,786.053018
2023,June,Jun 2023,876200710,876.20071
2023,July,Jul 2023,1171260588,1171.260588
2023,August,Aug 2023,1113164339,1113.164339
2023,September,Sep 2023,869655597,869.655597
2023,October,Oct 2023,605294277,605.294277
2023,November,Nov 2023,598021686,598.021686
2023,December,Dec 2023,578259735,578.259735
