,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
2007-09-01,0.7437296026038684,-0.6684384389656313,24.61,60.8,34.33648298193742,10.56,26.49,37.01,22.838485341315007,8.17,28.431704284976057,69.2,38.05,68.61,37.78454560903659,42.88,12.08,48.175036152527845,-0.16041709595208967,0.35525139661545424
2007-10-01,-0.4472194966010395,-0.5251775624068102,24.24610344932479,60.8829462306271,35.01,11.955466113525292,27.047014931936666,37.49712943287604,20.86,9.857098927995995,29.34923157852928,69.225,38.21164929118536,68.50015772897723,38.46,42.38060351501472,12.905220673476038,48.6,-0.15715375024459946,0.34749297802529316
2007-11-01,-0.674704202635081,-0.5529160009204771,24.78155508306568,61.65770351762936,36.1883833210977,12.491443598946168,28.04076715059867,38.23901116942212,23.907681295334875,10.395624086141769,29.91452216263491,70.095,39.462488506094054,69.3904881132513,39.692968032859234,43.76907134530513,13.355393395280611,50.19366531049088,-0.17292658783080225,0.34841966272048114
2007-12-01,-0.6130100222655674,-0.5773910937266539,25.30808249181843,62.40084498480112,37.139322319917895,13.021492829881629,28.99471499285226,38.94741646962097,24.333329586123423,10.927436651240921,30.477243602009157,70.88,40.664634710061584,70.23435549249147,40.65453199098198,45.11324164584932,13.798203342203308,51.27480642306711,-0.18054106114827942,0.34905225364984593
2008-01-01,-0.5653551037995643,-0.6132878965090464,23.993509530583122,63.78008000122002,37.56056104122919,12.207224353694746,29.053573869914757,39.592380575725905,25.952536842129792,10.001378425109998,30.975,71.59,40.995754208069876,71.16065572683357,41.02217726127431,45.156120536946325,12.643365442633058,51.458408936944274,-0.18407635233139386,0.34758439868213714
2008-02-01,-0.7259975010143908,-0.6034978593865757,24.349520952677775,64.18116618868385,38.119166247950034,12.548264812739129,29.624227031172836,39.99739162423253,26.154301970457464,10.347296722889208,31.29165828548561,72.05,41.70613936656394,71.63946482397645,41.58826219441643,45.958797250408615,12.94434997786254,52.10405689478949,-0.1908749892219985,0.35234403185532776
2008-03-01,-0.6165712692746663,-0.5708644023116735,24.21,64.34461325790697,38.9,12.76723403639143,29.95331561019748,40.20515649008898,26.18425141478605,10.57577625556944,31.42289828388312,72.35,42.10064741099378,71.88538925699959,42.4,46.408231461912344,13.164159192921687,52.65,-0.23819350198060685,0.3412015069027137
2008-04-01,-0.6209425131231372,-0.2461615044163955,24.54203172416828,64.6,38.10025397816068,11.84,30.71,40.12,25.44,9.55,30.9,72.52,43.0,72.05,41.54844372114076,48.27,12.45,52.21075671953718,-0.26171678562209894,0.32148356141806184
2008-05-01,0.2509796888212514,1.2957693423727383,24.00171014002479,62.27006701254816,36.42245203506225,11.906456649830288,28.027109782149182,38.55168245999294,24.599216545177914,9.767085865316233,29.880000000000006,70.99,39.54711425903046,69.91164823035147,39.869405965548104,43.59579478040251,12.675137318784778,50.36832146278356,-0.27041904084207286,0.30085767817930037
2008-06-01,0.6600052531833643,2.5129972912665943,18.695,54.225,24.405,7.23,17.55,31.03,19.04,4.6,28.04518002365847,61.54,27.94,60.67,27.865,31.905,8.63,37.64,-0.13621394862153716,0.26465907164515334
2008-07-01,2.3464543923303056,0.09812146772382381,22.031900173796895,57.27371979402994,29.955364751529675,7.88,18.23,31.17,21.7727411837348,4.22,27.751648245031774,62.27500000000001,32.15141567020769,63.66628385665935,33.55018523938134,36.13056691950735,9.04,38.66,-0.09161489061917066,0.18541069404464608
